C	N	P	S	V	Ni	Nb	Al	Ti	Fe	Hf	Mo	Mn	Co	Si	Cr	Cu	SFE
0.88	0	0	0	0	0	0	5.09	0	63.08	0	0	30.95	0	0	0	0	67.7
0.88	0	0	0	0	0	0	8.47	0	60.59	0	0	30.06	0	0	0	0	99.6
0.033	0.21	0.038	0.021	0	7.58	0	0	0	64.718	0	0	8.43	0	0.17	18.8	0	53
0.06	0.24	0.048	0.031	0	7.46	0	0	0	64.761	0	0	8.96	0	0.24	18.2	0	33
0.01	0.24	0.007	0.009	0	6.72	0	0	0	63.244	0	0	8.52	0	0.25	21	0	31
0.017	0.27	0.01	0.00004	0	7.07	0	0	0	64.40296	0	0	8.79	0	0.24	19.2	0	37
0.035	0.43	0.071	0.033	0	7.12	0	0	0	63.471	0	0	8.55	0	0.19	20.1	0	29
0.018	0.52	0.063	0.03	0	7.46	0	0	0	64.509	0	0	8.96	0	0.24	18.2	0	33
0	0	0	0	0	32	0	0	0	39	0	3	0	0	0	26	0	60
0	0.3	0	0	0	32	0	0	0	38.7	0	3	0	0	0	26	0	34
0	0.3	0	0	0	32	0	0	0	38.7	0	3	0	0	0	26	0	15
0	0.7	0	0	0	32	0	0	0	38.3	0	3	0	0	0	26	0	17
0	0.7	0	0	0	32	0	0	0	38.3	0	3	0	0	0	26	0	8.6
0	0	0	0	0	58.8	0	0	0.48	10	0	0	0	0	0	29	0	20.8
0	0	0	0	0	61.8	0	0	0	10	0	0	0	0	0	28.2	0	61
0	0	0	0	0	59	0	0	1	9	0	0	0	0	0	29	0	11.1
0	0	0	0	1	59	0	0	0.5	9	0	0	0	0	0	29	0	9.7
0	0	0	0	0	59	1	0	0.5	9	0	0	0	0	0	29	0	26.6
0	0	0	0	1	56	1	0	1	9	0	0	0	0	0	29	0	13.8
0	0	0	0	0	54.6	2.36	0	0.44	9.45	0	4.27	0	0	0	27.03	0	15.9
0	0	0	0	0	54.7	2.33	0	0.56	9.48	0.36	3.09	0	0	0	27.63	0	3.8
0.006	0.005	0	0	0	10	0	0	0	69.989	0	0	0	0	0	20	0	23
0.018	0.003	0	0	0	15	0	0	0	64.979	0	0	0	0	0	20	0	32
0.015	0.006	0	0	0	20	0	0	0	59.979	0	0	0	0	0	20	0	40
0.009	0.006	0	0	0	25	0	0	0	54.985	0	0	0	0	0	20	0	38
0.011	0.006	0	0	0	30	0	0	0	49.983	0	0	0	0	0	20	0	34
0.012	0.004	0	0	0	20	0	0	0	69.984	0	0	0	0	0	10	0	53
0.019	0.005	0	0	0	20	0	0	0	64.976	0	0	0	0	0	15	0	40
0.022	0.005	0	0	0	20	0	0	0	54.973	0	0	0	0	0	25	0	45
0.036	0.005	0	0	0	20	0	0	0	49.959	0	0	0	0	0	30	0	57
0.012	0.044	0	0	0	10	0	0	0	69.944	0	0	0	0	0	20	0	23
0.01	0.035	0	0	0	15	0	0	0	64.955	0	0	0	0	0	20	0	34
0.018	0.051	0	0	0	20	0	0	0	59.931	0	0	0	0	0	20	0	38
